Name,FileName,ExportName,TileWidth,TileHeight,Capacity,UpgradeRequirement,ShopIconExportName,BrokenPartCount,BrokenExportName,EffectExportName,CollectionTool1,CollectionTool2,CollectionTool3,TapSound,CollectSound,FullIconExportName,TID
String,String,String,int,int,int,int,String,int,String,String,String,String,String,String,String,String,String
Silo,sc/buildings_new.sc,silo_01,2,2,50,1,shop_icon_silo,4,silo_01_broken,repairsmoke_01_edit_for_silo,Nail,Screw,Wood Panel,MenuBleep,CoinXpExplosion,popup_silo_full,TID_SILO
,,silo_02,,,75,2,,,,,,,,,,,
,,silo_02,,,100,3,,,,,,,,,,,
,,silo_02,,,125,4,,,,,,,,,,,
,,silo_03,,,150,5,,,,,,,,,,,
,,silo_03,,,175,6,,,,,,,,,,,
,,silo_03,,,200,7,,,,,,,,,,,
,,silo_03,,,225,8,,,,,,,,,,,
,,silo_03,,,250,9,,,,,,,,,,,
,,silo_03,,,275,10,,,,,,,,,,,
,,silo_04,,,300,11,,,,,,,,,,,
,,silo_04,,,325,12,,,,,,,,,,,
,,silo_04,,,350,13,,,,,,,,,,,
,,silo_04,,,375,14,,,,,,,,,,,
,,silo_04,,,400,15,,,,,,,,,,,
,,silo_04,,,425,16,,,,,,,,,,,
,,silo_04,,,450,17,,,,,,,,,,,
,,silo_04,,,475,18,,,,,,,,,,,
,,silo_04,,,500,19,,,,,,,,,,,
,,silo_04,,,525,20,,,,,,,,,,,
,,silo_04,,,550,21,,,,,,,,,,,
,,silo_04,,,575,22,,,,,,,,,,,
,,silo_04,,,600,23,,,,,,,,,,,
,,silo_04,,,625,24,,,,,,,,,,,
,,silo_04,,,650,25,,,,,,,,,,,
,,silo_04,,,675,26,,,,,,,,,,,
,,silo_04,,,700,27,,,,,,,,,,,
,,silo_04,,,725,28,,,,,,,,,,,
,,silo_04,,,750,29,,,,,,,,,,,
,,silo_04,,,775,30,,,,,,,,,,,
,,silo_04,,,800,31,,,,,,,,,,,
,,silo_04,,,825,32,,,,,,,,,,,
,,silo_04,,,850,33,,,,,,,,,,,
,,silo_04,,,875,34,,,,,,,,,,,
,,silo_04,,,900,35,,,,,,,,,,,
,,silo_04,,,925,36,,,,,,,,,,,
,,silo_04,,,950,37,,,,,,,,,,,
,,silo_04,,,975,38,,,,,,,,,,,
,,silo_04,,,1000,39,,,,,,,,,,,
,,silo_04,,,1050,40,,,,,,,,,,,
,,silo_04,,,1100,41,,,,,,,,,,,
,,silo_04,,,1150,42,,,,,,,,,,,
,,silo_04,,,1200,43,,,,,,,,,,,
,,silo_04,,,1250,44,,,,,,,,,,,
,,silo_04,,,1300,45,,,,,,,,,,,
,,silo_04,,,1350,46,,,,,,,,,,,
,,silo_04,,,1400,47,,,,,,,,,,,
,,silo_04,,,1450,48,,,,,,,,,,,
,,silo_04,,,1500,49,,,,,,,,,,,
,,silo_04,,,1550,50,,,,,,,,,,,
,,silo_04,,,1600,51,,,,,,,,,,,
,,silo_04,,,1650,52,,,,,,,,,,,
,,silo_04,,,1700,53,,,,,,,,,,,
,,silo_04,,,1750,54,,,,,,,,,,,
,,silo_04,,,1800,55,,,,,,,,,,,
,,silo_04,,,1850,56,,,,,,,,,,,
,,silo_04,,,1900,57,,,,,,,,,,,
,,silo_04,,,1950,58,,,,,,,,,,,
,,silo_04,,,2000,59,,,,,,,,,,,
,,silo_04,,,2050,60,,,,,,,,,,,
,,silo_04,,,2100,61,,,,,,,,,,,
,,silo_04,,,2150,62,,,,,,,,,,,
,,silo_04,,,2200,63,,,,,,,,,,,
,,silo_04,,,2250,64,,,,,,,,,,,
,,silo_04,,,2300,65,,,,,,,,,,,
,,silo_04,,,2350,66,,,,,,,,,,,
,,silo_04,,,2400,67,,,,,,,,,,,
,,silo_04,,,2450,68,,,,,,,,,,,
,,silo_04,,,2500,69,,,,,,,,,,,
,,silo_04,,,2550,70,,,,,,,,,,,
,,silo_04,,,2600,71,,,,,,,,,,,
,,silo_04,,,2650,72,,,,,,,,,,,
,,silo_04,,,2700,73,,,,,,,,,,,
,,silo_04,,,2750,74,,,,,,,,,,,
,,silo_04,,,2800,75,,,,,,,,,,,
,,silo_04,,,2850,76,,,,,,,,,,,
,,silo_04,,,2900,77,,,,,,,,,,,
,,silo_04,,,2950,78,,,,,,,,,,,
,,silo_04,,,3000,79,,,,,,,,,,,
,,silo_04,,,3050,80,,,,,,,,,,,
,,silo_04,,,3100,81,,,,,,,,,,,
,,silo_04,,,3150,82,,,,,,,,,,,
,,silo_04,,,3200,83,,,,,,,,,,,
,,silo_04,,,3250,84,,,,,,,,,,,
,,silo_04,,,3300,85,,,,,,,,,,,
,,silo_04,,,3350,86,,,,,,,,,,,
,,silo_04,,,3400,87,,,,,,,,,,,
,,silo_04,,,3450,88,,,,,,,,,,,
,,silo_04,,,3500,89,,,,,,,,,,,
,,silo_04,,,3550,90,,,,,,,,,,,
,,silo_04,,,3600,91,,,,,,,,,,,
,,silo_04,,,3650,92,,,,,,,,,,,
,,silo_04,,,3700,93,,,,,,,,,,,
,,silo_04,,,3750,94,,,,,,,,,,,
,,silo_04,,,3800,95,,,,,,,,,,,
,,silo_04,,,3850,96,,,,,,,,,,,
,,silo_04,,,3900,97,,,,,,,,,,,
,,silo_04,,,3950,98,,,,,,,,,,,
,,silo_04,,,4000,99,,,,,,,,,,,
,,silo_04,,,4050,100,,,,,,,,,,,
,,silo_04,,,4100,101,,,,,,,,,,,
,,silo_04,,,4150,102,,,,,,,,,,,
,,silo_04,,,4200,103,,,,,,,,,,,
,,silo_04,,,4250,104,,,,,,,,,,,
,,silo_04,,,4300,105,,,,,,,,,,,
,,silo_04,,,4350,106,,,,,,,,,,,
,,silo_04,,,4400,107,,,,,,,,,,,
,,silo_04,,,4450,108,,,,,,,,,,,
,,silo_04,,,4500,109,,,,,,,,,,,
,,silo_04,,,4550,110,,,,,,,,,,,
,,silo_04,,,4600,111,,,,,,,,,,,
,,silo_04,,,4650,112,,,,,,,,,,,
,,silo_04,,,4700,113,,,,,,,,,,,
,,silo_04,,,4750,114,,,,,,,,,,,
,,silo_04,,,4800,115,,,,,,,,,,,
,,silo_04,,,4850,116,,,,,,,,,,,
,,silo_04,,,4900,117,,,,,,,,,,,
,,silo_04,,,4950,118,,,,,,,,,,,
,,silo_04,,,5000,119,,,,,,,,,,,
,,silo_04,,,5050,120,,,,,,,,,,,
,,silo_04,,,5100,121,,,,,,,,,,,
