Name,ToolIconExportName,TID,ProcessingBuilding,RequirementAmount,Requirement,TimeMin,OrderPrice,OrderExp,ExpCollect,InstantComplete,DumbValue,OrderValue,BoatOrderValue,UnlockLevel,DescriptionTID,Difficulty,PendingRelease
String,String,String,String,int,String,int,int,int,int,int,int,int,int,int,string,int,Boolean
GreenSmoothie,recipe_green_smoothie,TID_PRODUCT_GREENSMOOTHIE,Smoothie_Mixer,5,Lettuce,45,166,160,38,3,89,63,63,66,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,66,
,,,,1,Apple,,,,,,,,,,,,
,,,,1,Lemon,,,,,,,,,,,,
BerrySmoothie,recipe_berry_smoothie,TID_PRODUCT_BERRYSMOOTHIE,Smoothie_Mixer,3,Raspberry,75,283,272,65,4,152,109,109,64,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,113,
,,,,3,Blackberry,,,,,,,,,,,,
,,,,3,Strawberry,,,,,,,,,,,,
YogurtSmoothie,recipe_yogurt_smoothie,TID_PRODUCT_YOGURTSMOOTHIE,Smoothie_Mixer,1,Cream,60,181,174,42,4,97,65,70,70,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,69,
,,,,1,White Sugar,,,,,,,,,,,,
,,,,2,Raspberry,,,,,,,,,,,,
,,,,1,Cherry,,,,,,,,,,,,
MixedSmoothie,recipe_mixed_smoothie,TID_PRODUCT_MIXEDSMOOTHIE,Smoothie_Mixer,2,Peach,30,261,251,60,3,140,91,91,88,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,94,
,,,,2,Orange,,,,,,,,,,,,
,,,,1,Lemon,,,,,,,,,,,,
Cocoa smoothie,recipe_cocoa_smoothie,TID_PRODUCT_COCOASMOOTHIE,Smoothie_Mixer,3,Cacao,40,263,253,61,3,142,91,91,100,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,94,
,,,,2,Banana,,,,,,,,,,,,
,,,,1,Milk,,,,,,,,,,,,
PlumSmoothie,recipe_plum_smoothie,TID_PRODUCT_PLUMSMOOTHIE,Smoothie_Mixer,3,Plum,35,269,259,62,3,145,77,77,102,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,80,
,,,,2,Grapes,,,,,,,,,,,,
,,,,1,Mint,,,,,,,,,,,,
,,,,1,Honey,,,,,,,,,,,,
Cucumber Smoothie,recipe_cucumber_smoothie,TID_PRODUCT_CUCUMBERSMOOTHIE,Smoothie_Mixer,3,Cucumber,40,138,133,32,3,74,29,29,70,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,32,
,,,,3,Pineapple,,,,,,,,,,,,
,,,,1,Honey,,,,,,,,,,,,
SesameSmoothie,recipe_sesame_smoothie,TID_SESAME_SMOOTHIE,Smoothie_Mixer,3,Sesame,45,161,155,37,3,87,58,58,93,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,61,
,,,,1,Banana,,,,,,,,,,,,
,,,,2,Goat Milk,,,,,,,,,,,,
TropicalSmoothie,recipe_tropical_smoothie,TID_TROPICAL_SMOOTHIE,Smoothie_Mixer,1,Coconut,40,246,237,57,3,132,83,83,104,TID_SMOOTHIEMIXER_PRODUCT_DESCRIPTION,86,
,,,,2,Mango,,,,,,,,,,,,
,,,,2,PassionFruit,,,,,,,,,,,,
,,,,1,Banana,,,,,,,,,,,,
