Name,FileNames,MinVolume,MaxVolume,MinPitch,MaxPitch,FileNameLite,MinVolumeLite,MaxVolumeLite,FadeOutRadius,MaxVolumeRadius,IsMusic
String,String,int,int,int,int,String,int,int,int,int,boolean
CuttingCrop,audio/sfx/ogg/cutting_crop_1.ogg,77,80,96,108,,,,2,10,
,audio/sfx/ogg/cutting_crop_2.ogg,77,80,96,108,,,,2,10,
SickleBeginCutting,audio/sfx/ogg/sickle_begin_cutting.ogg,100,101,100,100,,,,2,10,
EarningMoney,audio/sfx/ogg/earn_money_01_new.ogg,48,48,96,108,,,,100,100,
,audio/sfx/ogg/earn_money_02_new.ogg,48,48,96,108,,,,100,100,
GettingXP,audio/sfx/ogg/gain_xp_temp_03.ogg,100,100,98,106,,,,100,100,
LevelUp,audio/sfx/ogg/level_up_04.ogg,65,65,100,100,,,,100,100,
MenuBleep,audio/sfx/ogg/menu_bleep.ogg,56,56,100,100,,,,100,100,
CarLoop,audio/sfx/ogg/car_loop_2.ogg,37,37,100,100,,,,1,10,
CarHorn,audio/sfx/ogg/car_horn.ogg,22,22,100,100,,,,2,11,
BigPineTap,audio/sfx/ogg/big_pine.ogg,45,45,96,108,,,,2,10,
SmallPineCollect,audio/sfx/ogg/small_pine_axe_fall_01.ogg,55,55,96,108,,,,2,10,
BigPineCollect,audio/sfx/ogg/big_pine_saw_fall_01.ogg,55,55,96,108,,,,2,10,
BigRockCollect,audio/sfx/ogg/rock_deto_blast_01.ogg,61,61,96,108,,,,2,10,
BigRockTap,audio/sfx/ogg/big_rock_hit.ogg,26,26,96,108,,,,2,10,
BigSwampTap,audio/sfx/ogg/big_swamp_step.ogg,37,37,96,108,,,,2,10,
BigSwampCollect,audio/sfx/ogg/swamp_dig_collect_01.ogg,41,41,96,108,,,,2,10,
BakeryTap,audio/sfx/ogg/bakery_door_1.ogg,34,34,96,108,audio/sfx/ogg/add_to_queue.ogg,38,38,2,10,
ConstructionSite,audio/sfx/ogg/construction_site_newer_02.ogg,89,89,96,108,,,,2,10,
CropIntoSilo,audio/sfx/ogg/crop_into_silo_1.ogg,52,52,96,108,,,,100,100,
,audio/sfx/ogg/crop_into_silo_2.ogg,52,52,96,108,,,,100,100,
River,audio/sfx/ogg/river_temp_03.ogg,19,19,100,100,,,,3,6,
LoomTap,audio/sfx/ogg/loom.ogg,60,60,96,108,audio/sfx/ogg/add_to_queue.ogg,38,38,2,10,
LoomTapProcessing,audio/sfx/ogg/loom_loop_new.ogg,60,60,96,108,audio/sfx/ogg/add_to_queue.ogg,38,38,2,10,
PopcornPotTap,audio/sfx/ogg/popcorn_pot_metal_pot.ogg,34,34,96,108,audio/sfx/ogg/add_to_queue.ogg,38,38,2,10,
PopcornPotTapProcessing,audio/sfx/ogg/popcorn_pot_processing_02.ogg,77,77,96,108,audio/sfx/ogg/add_to_queue.ogg,38,38,2,10,
DairyTap,audio/sfx/ogg/select_hihna_kolisee_02.ogg,50,50,96,108,audio/sfx/ogg/add_to_queue.ogg,38,38,2,10,
DairyTapProcessing,audio/sfx/ogg/rullahihna_loop_2_new_02.ogg,46,46,96,108,audio/sfx/ogg/add_to_queue.ogg,38,38,2,10,
SugarmillTap,audio/sfx/ogg/sugarmill.ogg,100,100,96,108,audio/sfx/ogg/add_to_queue.ogg,38,38,2,10,
SugarmillTapProcessing,audio/sfx/ogg/sugarmill_loop_new.ogg,100,100,96,108,audio/sfx/ogg/add_to_queue.ogg,38,38,2,10,
BarbecueTapProcessing,audio/sfx/ogg/paistuu_02.ogg,64,64,96,108,audio/sfx/ogg/add_to_queue.ogg,38,38,2,10,
SelectBakeryInProgress,audio/sfx/ogg/bakery.ogg,43,43,96,108,audio/sfx/ogg/add_to_queue.ogg,38,38,2,10,
