Name,Category,TaskType,FarmPoints,Good,Amount,Probability,TID,IconFileName,IconExportName,Tags,DerbyTaskTags,MinXPLevelForSpawn,MinRepLevelForSpawn,MaxXPLevelForSpawn,TimeLimitMinutes
String,String,String,int,String,int,int,String,String,String,String,String,int,int,int,int
DailyFeedAnimal_Any10,Weekly,FeedAnimal,5,,10,1,TID_FARM_PASS_TASK_FEED_ANIMALS,sc/icons.sc,tool_feed_question,feed,,1,,,
DailyCollectProduction_Honeycomb1,Weekly,CollectProduction,5,Honeycomb,10,1,TID_FARM_PASS_TASK_COLLECT_HONEYCOMB,sc/icons.sc,icon_honeycomb,product,,39,,,
DailyCollectProduction_PeanutBag1,Weekly,CollectProduction,5,PeanutBag,10,1,TID_FARM_PASS_TASK_COLLECT_PEANUT,sc/icons.sc,icon_peanut_bag,product,,62,,,
FeedSanctuaryAnimal_5,Weekly,FeedSanctuaryAnimal,5,,5,1,TID_FARM_PASS_TASK_FEED_SANCTUARY,sc/icons.sc,tool_feed_herbivore,sanctuary,,36,5,,
WakeupSanctuaryAnimal_5,Weekly,WakeupSanctuaryAnimal,5,,5,1,TID_FARM_PASS_TASK_WAKE_SANCTUARY,sc/icons.sc,icon_sanctuary,sanctuary,,36,5,,
Harvest_Any,Weekly,HarvestField,5,,100,1,TID_FARM_PASS_TASK_HARVEST_ANY_FIELDS,sc/icons.sc,tool_harvest,harvest,,80,,,
Plant_Any,Weekly,PlantField,5,,100,1,TID_FARM_PASS_TASK_PLANT_CROP_ANY,sc/nature_new.sc,field_empty,plant,,45,,,
WheelOfFortune_5,Weekly,WheelOfFortune,5,,5,1,TID_FARM_PASS_TASK_SPIN_WHEEL,sc/icons.sc,task_icon_free_wof_spin,other,,8,,,
DailyPlant_Any,Easy,PlantField,1,,10,1,TID_FARM_PASS_TASK_PLANT_CROP_ANY,sc/nature_new.sc,field_empty,plant,,45,,,
Harvest_Any_Easy,Easy,HarvestField,1,,10,1,TID_FARM_PASS_TASK_HARVEST_ANY_FIELDS,sc/icons.sc,tool_harvest,harvest,,80,,,
OpenMysteryBox_Farm5,Easy,OpenMysteryBox,1,Box1,1,1,TID_FARM_PASS_TASK_OPEN_FARM_BOXES,sc/icons.sc,icon_mysterybox_orignal,other,,1,,,
,,,,Box2,,,,,,,,,,,
,,,,Box3,,,,,,,,,,,
,,,,Box4,,,,,,,,,,,
,,,,Box5,,,,,,,,,,,
,,,,Box6,,,,,,,,,,,
,,,,Box7,,,,,,,,,,,
,,,,Box8,,,,,,,,,,,
,,,,Box9,,,,,,,,,,,
,,,,Box10,,,,,,,,,,,
,,,,Box11,,,,,,,,,,,
,,,,Box12,,,,,,,,,,,
,,,,Box13,,,,,,,,,,,
,,,,Box14,,,,,,,,,,,
,,,,Box15,,,,,,,,,,,
,,,,Box16,,,,,,,,,,,
,,,,Box17,,,,,,,,,,,
,,,,Box18,,,,,,,,,,,
,,,,Box19,,,,,,,,,,,
,,,,Box20,,,,,,,,,,,
,,,,Box21,,,,,,,,,,,
,,,,Box22,,,,,,,,,,,
,,,,Box23,,,,,,,,,,,
,,,,Box24,,,,,,,,,,,
,,,,Box25,,,,,,,,,,,
,,,,Box26,,,,,,,,,,,
,,,,Box27,,,,,,,,,,,
,,,,Box28,,,,,,,,,,,
,,,,Box29,,,,,,,,,,,
,,,,Box30,,,,,,,,,,,
,,,,Box31,,,,,,,,,,,
,,,,Box32,,,,,,,,,,,
,,,,Box33,,,,,,,,,,,
,,,,Box34,,,,,,,,,,,
,,,,Box35,,,,,,,,,,,
,,,,Box36,,,,,,,,,,,
,,,,Box37,,,,,,,,,,,
,,,,Box38,,,,,,,,,,,
,,,,Box39,,,,,,,,,,,
,,,,Box40,,,,,,,,,,,
,,,,Box41,,,,,,,,,,,
,,,,Box42,,,,,,,,,,,
,,,,Box43,,,,,,,,,,,
,,,,Box44,,,,,,,,,,,
,,,,Box45,,,,,,,,,,,
,,,,Box46,,,,,,,,,,,
,,,,Box47,,,,,,,,,,,
,,,,Box48,,,,,,,,,,,
,,,,Box49,,,,,,,,,,,
,,,,Box50,,,,,,,,,,,
,,,,Box51,,,,,,,,,,,
,,,,Box52,,,,,,,,,,,
,,,,Box53,,,,,,,,,,,
,,,,Box54,,,,,,,,,,,
,,,,Box55,,,,,,,,,,,
,,,,Box56,,,,,,,,,,,
,,,,Box57,,,,,,,,,,,
,,,,Box58,,,,,,,,,,,
,,,,Box59,,,,,,,,,,,
,,,,Box60,,,,,,,,,,,
,,,,Box61,,,,,,,,,,,
,,,,Box62,,,,,,,,,,,
,,,,Box63,,,,,,,,,,,
,,,,Box64,,,,,,,,,,,
,,,,Box65,,,,,,,,,,,
,,,,Box66,,,,,,,,,,,
,,,,Box67,,,,,,,,,,,
,,,,Box68,,,,,,,,,,,
,,,,Box69,,,,,,,,,,,
,,,,Box70,,,,,,,,,,,
,,,,Box71,,,,,,,,,,,
,,,,Box72,,,,,,,,,,,
,,,,Box73,,,,,,,,,,,
,,,,Box74,,,,,,,,,,,
,,,,Box75,,,,,,,,,,,
,,,,Box76,,,,,,,,,,,
,,,,Box77,,,,,,,,,,,
,,,,Box78,,,,,,,,,,,
,,,,Box79,,,,,,,,,,,
,,,,Box80,,,,,,,,,,,
,,,,Box81,,,,,,,,,,,
,,,,Box82,,,,,,,,,,,
,,,,Box83,,,,,,,,,,,
,,,,Box84,,,,,,,,,,,
,,,,Box85,,,,,,,,,,,
,,,,Box86,,,,,,,,,,,
,,,,Box87,,,,,,,,,,,
,,,,Box88,,,,,,,,,,,
,,,,Box89,,,,,,,,,,,
,,,,Box90,,,,,,,,,,,
,,,,Box91,,,,,,,,,,,
,,,,Box92,,,,,,,,,,,
,,,,Box93,,,,,,,,,,,
,,,,Box94,,,,,,,,,,,
,,,,Box95,,,,,,,,,,,
,,,,Box96,,,,,,,,,,,
,,,,Box97,,,,,,,,,,,
,,,,Box98,,,,,,,,,,,
,,,,Box99,,,,,,,,,,,
,,,,Box100,,,,,,,,,,,
,,,,Box101,,,,,,,,,,,
,,,,Box102,,,,,,,,,,,
,,,,Box103,,,,,,,,,,,
,,,,Box104,,,,,,,,,,,
,,,,Box105,,,,,,,,,,,
,,,,Box106,,,,,,,,,,,
,,,,Box107,,,,,,,,,,,
,,,,Box108,,,,,,,,,,,
,,,,Box109,,,,,,,,,,,
,,,,Box110,,,,,,,,,,,
,,,,Box111,,,,,,,,,,,
,,,,Box112,,,,,,,,,,,
,,,,Box113,,,,,,,,,,,
,,,,Box114,,,,,,,,,,,
,,,,Box115,,,,,,,,,,,
,,,,Box116,,,,,,,,,,,
,,,,Box117,,,,,,,,,,,
,,,,Box118,,,,,,,,,,,
,,,,Box119,,,,,,,,,,,
,,,,Box120,,,,,,,,,,,
,,,,Box121,,,,,,,,,,,
,,,,Box122,,,,,,,,,,,
,,,,Box111_free,,,,,,,,,,,
,,,,Box85_free,,,,,,,,,,,
,,,,Box7_free,,,,,,,,,,,
CollectFruit_AnyTree30,Easy,CollectFruit,1,Banana,3,1,TID_FARM_PASS_TASK_COLLECT_TREE,sc/icons.sc,icon_apple,tree,,15,,,
,,,,Peach,,,,,,,,,,,
,,,,Orange,,,,,,,,,,,
,,,,Lemon,,,,,,,,,,,
,,,,Olive,,,,,,,,,,,
,,,,Plum,,,,,,,,,,,
,,,,Cacao,,,,,,,,,,,
,,,,Cherry,,,,,,,,,,,
,,,,Apple,,,,,,,,,,,
,,,,Mango,,,,,,,,,,,
,,,,Coconut,,,,,,,,,,,
,,,,Guava,,,,,,,,,,,
,,,,Pomegranate,,,,,,,,,,,
CollectFruit_AnyBush30,Easy,CollectFruit,1,Blackberry,3,1,TID_FARM_PASS_TASK_COLLECT_BUSH,sc/icons.sc,icon_raspberry,bush,,19,,,
,,,,Coffee,,,,,,,,,,,
,,,,Raspberry,,,,,,,,,,,
DailyActivateBooster_1,Easy,ActivateBooster,1,,1,1,TID_FARM_PASS_TASK_ACTIVATE_BOOSTER_ONE,sc/icons.sc,booster_menu_icon,other,,35,,,
DailyPutStuffToRss_10,Easy,PutStuffToRss,1,,10,1,TID_FARM_PASS_TASK_SELL_RSS,sc/icons.sc,task_icon_roadside_shop,other,,7,,,
DailySellFarmVisitors_1,Easy,CompletePeopleOrder,1,,1,1,TID_FARM_PASS_TASK_SELL_FARM_VISITORS_ONE,sc/icons.sc,task_icon_complete_visitor_order,other,,3,,,
GiveHelp_15,Easy,GiveHelp,1,,1,1,TID_FARM_PASS_TASK_HELP_OTHERS,sc/icons.sc,tool_request_help,other,,10,,,
WheelOfFortune_5_Easy,Easy,WheelOfFortune,1,,1,1,TID_FARM_PASS_TASK_SPIN_WHEEL,sc/icons.sc,task_icon_free_wof_spin,other,,8,,,
DailyTruckOrder_1,Medium,CompleteTruckOrder,1,,1,1,TID_FARM_PASS_TASK_CAR_ORDER_ONE,sc/icons.sc,nh_derby_task_car_order,truck,,4,,,
DailyBoatCrate_3,Hard,FillBoatCrate,1,,1,1,TID_FARM_PASS_TASK_BOAT_CRATES,sc/icons.sc,task_icon_crate,boat,,17,,,
DailyFeedAnimal_Any10_Medium,Medium,FeedAnimal,1,,3,1,TID_FARM_PASS_TASK_FEED_ANIMALS,sc/icons.sc,tool_feed_question,feed,,1,,,
DailyBuyFruitTree_Any2,Easy,BuyFruitTree,1,,1,1,TID_FARM_PASS_TASK_PLANT_TREE_BUSH_ANY,sc/icons.sc,task_icon_plant_fruit_tree,tree,bush,15,,,
DailyProduction_Bakery2,Medium,StartBuilding,1,Bakery,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,2,,,
DailyProduction_Hammermill2,Medium,StartBuilding,1,Hammermill,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,3,,,
DailyProduction_Dairy2,Medium,StartBuilding,1,Dairy,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,6,,,
DailyProduction_Sugar_Mill2,Medium,StartBuilding,1,Sugar_Mill,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,7,,,
DailyProduction_Popcorn_Pot2,Medium,StartBuilding,1,Popcorn_Pot,3,1,TID_FARM_PASS_TASK_PRODUCE_BUILDING,,,produce,,8,,,
