Name,FileName,ExportName,TileWidth,TileHeight,Capacity,UpgradeRequirement,ShopIconExportName,BrokenPartCount,BrokenExportName,EffectExportName,CollectionTool1,CollectionTool2,CollectionTool3,TapSound,CollectSound,FullIconExportName,TID
String,String,String,int,int,int,int,String,int,String,String,String,String,String,String,String,String,String
Shed,sc/buildings_new.sc,shed_01,3,3,50,1,shop_icon_warehouse,6,shed_01_broken,repairsmoke_02,Bolt,Plank,Duct Tape,MenuBleep,CoinXpExplosion,popup_warehouse_full,TID_WAREHOUSE
,,shed_02,,,75,2,,,,,,,,,,,
,,shed_02,,,100,3,,,,,,,,,,,
,,shed_02,,,125,4,,,,,,,,,,,
,,shed_03,,,150,5,,,,,,,,,,,
,,shed_03,,,175,6,,,,,,,,,,,
,,shed_03,,,200,7,,,,,,,,,,,
,,shed_03,,,225,8,,,,,,,,,,,
,,shed_03,,,250,9,,,,,,,,,,,
,,shed_03,,,275,10,,,,,,,,,,,
,,shed_04,,,300,11,,,,,,,,,,,
,,shed_04,,,325,12,,,,,,,,,,,
,,shed_04,,,350,13,,,,,,,,,,,
,,shed_04,,,375,14,,,,,,,,,,,
,,shed_04,,,400,15,,,,,,,,,,,
,,shed_04,,,425,16,,,,,,,,,,,
,,shed_04,,,450,17,,,,,,,,,,,
,,shed_04,,,475,18,,,,,,,,,,,
,,shed_04,,,500,19,,,,,,,,,,,
,,shed_04,,,525,20,,,,,,,,,,,
,,shed_04,,,550,21,,,,,,,,,,,
,,shed_04,,,575,22,,,,,,,,,,,
,,shed_04,,,600,23,,,,,,,,,,,
,,shed_04,,,625,24,,,,,,,,,,,
,,shed_04,,,650,25,,,,,,,,,,,
,,shed_04,,,675,26,,,,,,,,,,,
,,shed_04,,,700,27,,,,,,,,,,,
,,shed_04,,,725,28,,,,,,,,,,,
,,shed_04,,,750,29,,,,,,,,,,,
,,shed_04,,,775,30,,,,,,,,,,,
,,shed_04,,,800,31,,,,,,,,,,,
,,shed_04,,,825,32,,,,,,,,,,,
,,shed_04,,,850,33,,,,,,,,,,,
,,shed_04,,,875,34,,,,,,,,,,,
,,shed_04,,,900,35,,,,,,,,,,,
,,shed_04,,,925,36,,,,,,,,,,,
,,shed_04,,,950,37,,,,,,,,,,,
,,shed_04,,,975,38,,,,,,,,,,,
,,shed_04,,,1000,39,,,,,,,,,,,
,,shed_04,,,1050,40,,,,,,,,,,,
,,shed_04,,,1100,41,,,,,,,,,,,
,,shed_04,,,1150,42,,,,,,,,,,,
,,shed_04,,,1200,43,,,,,,,,,,,
,,shed_04,,,1250,44,,,,,,,,,,,
,,shed_04,,,1300,45,,,,,,,,,,,
,,shed_04,,,1350,46,,,,,,,,,,,
,,shed_04,,,1400,47,,,,,,,,,,,
,,shed_04,,,1450,48,,,,,,,,,,,
,,shed_04,,,1500,49,,,,,,,,,,,
,,shed_04,,,1550,50,,,,,,,,,,,
,,shed_04,,,1600,51,,,,,,,,,,,
,,shed_04,,,1650,52,,,,,,,,,,,
,,shed_04,,,1700,53,,,,,,,,,,,
,,shed_04,,,1750,54,,,,,,,,,,,
,,shed_04,,,1800,55,,,,,,,,,,,
,,shed_04,,,1850,56,,,,,,,,,,,
,,shed_04,,,1900,57,,,,,,,,,,,
,,shed_04,,,1950,58,,,,,,,,,,,
,,shed_04,,,2000,59,,,,,,,,,,,
,,shed_04,,,2050,60,,,,,,,,,,,
,,shed_04,,,2100,61,,,,,,,,,,,
,,shed_04,,,2150,62,,,,,,,,,,,
,,shed_04,,,2200,63,,,,,,,,,,,
,,shed_04,,,2250,64,,,,,,,,,,,
,,shed_04,,,2300,65,,,,,,,,,,,
,,shed_04,,,2350,66,,,,,,,,,,,
,,shed_04,,,2400,67,,,,,,,,,,,
,,shed_04,,,2450,68,,,,,,,,,,,
,,shed_04,,,2500,69,,,,,,,,,,,
,,shed_04,,,2550,70,,,,,,,,,,,
,,shed_04,,,2600,71,,,,,,,,,,,
,,shed_04,,,2650,72,,,,,,,,,,,
,,shed_04,,,2700,73,,,,,,,,,,,
,,shed_04,,,2750,74,,,,,,,,,,,
,,shed_04,,,2800,75,,,,,,,,,,,
,,shed_04,,,2850,76,,,,,,,,,,,
,,shed_04,,,2900,77,,,,,,,,,,,
,,shed_04,,,2950,78,,,,,,,,,,,
,,shed_04,,,3000,79,,,,,,,,,,,
,,shed_04,,,3050,80,,,,,,,,,,,
,,shed_04,,,3100,81,,,,,,,,,,,
,,shed_04,,,3150,82,,,,,,,,,,,
,,shed_04,,,3200,83,,,,,,,,,,,
,,shed_04,,,3250,84,,,,,,,,,,,
,,shed_04,,,3300,85,,,,,,,,,,,
,,shed_04,,,3350,86,,,,,,,,,,,
,,shed_04,,,3400,87,,,,,,,,,,,
,,shed_04,,,3450,88,,,,,,,,,,,
,,shed_04,,,3500,89,,,,,,,,,,,
,,shed_04,,,3550,90,,,,,,,,,,,
,,shed_04,,,3600,91,,,,,,,,,,,
,,shed_04,,,3650,92,,,,,,,,,,,
,,shed_04,,,3700,93,,,,,,,,,,,
,,shed_04,,,3750,94,,,,,,,,,,,
,,shed_04,,,3800,95,,,,,,,,,,,
,,shed_04,,,3850,96,,,,,,,,,,,
,,shed_04,,,3900,97,,,,,,,,,,,
,,shed_04,,,3950,98,,,,,,,,,,,
,,shed_04,,,4000,99,,,,,,,,,,,
,,shed_04,,,4050,100,,,,,,,,,,,
,,shed_04,,,4100,101,,,,,,,,,,,
,,shed_04,,,4150,102,,,,,,,,,,,
,,shed_04,,,4200,103,,,,,,,,,,,
,,shed_04,,,4250,104,,,,,,,,,,,
,,shed_04,,,4300,105,,,,,,,,,,,
,,shed_04,,,4350,106,,,,,,,,,,,
,,shed_04,,,4400,107,,,,,,,,,,,
,,shed_04,,,4450,108,,,,,,,,,,,
,,shed_04,,,4500,109,,,,,,,,,,,
,,shed_04,,,4550,110,,,,,,,,,,,
,,shed_04,,,4600,111,,,,,,,,,,,
,,shed_04,,,4650,112,,,,,,,,,,,
,,shed_04,,,4700,113,,,,,,,,,,,
,,shed_04,,,4750,114,,,,,,,,,,,
,,shed_04,,,4800,115,,,,,,,,,,,
,,shed_04,,,4850,116,,,,,,,,,,,
,,shed_04,,,4900,117,,,,,,,,,,,
,,shed_04,,,4950,118,,,,,,,,,,,
,,shed_04,,,5000,119,,,,,,,,,,,
,,shed_04,,,5050,120,,,,,,,,,,,
,,shed_04,,,5100,121,,,,,,,,,,,
,,shed_04,,,5150,122,,,,,,,,,,,
,,shed_04,,,5200,123,,,,,,,,,,,
,,shed_04,,,5250,124,,,,,,,,,,,
,,shed_04,,,5300,125,,,,,,,,,,,
,,shed_04,,,5350,126,,,,,,,,,,,
,,shed_04,,,5400,127,,,,,,,,,,,
,,shed_04,,,5450,128,,,,,,,,,,,
,,shed_04,,,5500,129,,,,,,,,,,,
,,shed_04,,,5550,130,,,,,,,,,,,
,,shed_04,,,5600,131,,,,,,,,,,,
,,shed_04,,,5650,132,,,,,,,,,,,
,,shed_04,,,5700,133,,,,,,,,,,,
