TID,CH
string,string
TID_LANGUAGE_TITLE,选择语言
TID_SHOP_UNLOCK_TEXT,在<LEVELX>级解锁
TID_ANIMAL_SHOP_DESCRIPTION,生产<ITEM>需<TIME>
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,可饲养<CAPACITY>只母鸡
TID_COW_HABITAT_SHOP_DESCRIPTION,可饲养<CAPACITY>头奶牛
TID_PIG_HABITAT_SHOP_DESCRIPTION,可饲养<CAPACITY>头小猪
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,可饲养<CAPACITY>只绵羊
TID_GOAT_HABITAT_SHOP_DESCRIPTION,可饲养<CAPACITY>只山羊
TID_MULTIPLE_ITEMS,<ITEM> x<COUNT>
TID_CROP_SHOP_DESCRIPTION,农作物种植在耕地里
TID_EMPTY_FIELD_SHOP_DESCRIPTION,耕地用于种植农作物
TID_TIME_D_H,<D>天<H>小时
TID_TIME_H_M,<H>小时<M>分
TID_TIME_H,<H>小时
TID_TIME_M_S,<M>分<S>秒
TID_TIME_M,<M>分钟
TID_TIME_S,<S>秒
TID_COUNT_OF_MAX,<COUNT>/<MAX>
TID_SILO_STORAGE,粮仓容量：<COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,货仓容量：<COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,空闲
TID_PRODUCTION_LIST_WAITING,等待中...
TID_ANIMAL_HUNGRY,主人，我饿了。
TID_ANIMAL_READY_TO_HARVEST,可供收集
TID_WHEAT,小麦
TID_CARROT,胡萝卜
TID_CORN,玉米
TID_SOY_BEAN,大豆
TID_SUGAR_CANE,甘蔗
TID_PUMPKIN,南瓜
TID_CHILI,辣椒
TID_INDIGO,木蓝
TID_TOMATO,西红柿
TID_CHICKEN_FOOD,鸡饲料
TID_COW_FOOD,奶牛饲料
TID_SHEEP_FOOD,绵羊饲料
TID_PIG_FOOD,猪饲料
TID_GOAT_FOOD,山羊饲料
TID_EGG,鸡蛋
TID_MILK,牛奶
TID_WOOL,羊毛
TID_BACON,培根
TID_GOAT_MILK,山羊奶
TID_CREAM,奶油
TID_BUTTER,黄油
TID_CHEESE,奶酪
TID_GOAT_CHEESE,山羊奶酪
TID_BREAD,面包
TID_COOKIE,曲奇饼
TID_CORN_BREAD,玉米面包
TID_CHEESE_CAKE,奶酪蛋糕
TID_CARROT_CAKE,胡萝卜蛋糕
TID_BIRTHDAY_CAKE,奶油蛋糕
TID_CHOCOLATE_CAKE,巧克力蛋糕
TID_STRAWBERRY_CAKE,草莓蛋糕
TID_CARROT_PIE,胡萝卜派
TID_BACON_PIE,熏肉派
TID_PUMPKIN_PIE,南瓜派
TID_BROWN_SUGAR,红糖
TID_WHITE_SUGAR,白糖
TID_SYRUP,糖浆
TID_SWEATER,白毛衣
TID_BLUE_WOOLLY_HAT,蓝绵帽
TID_BLUE_SWEATER,蓝毛衣
TID_POPCORN,爆米花
TID_BUTTER_POPCORN,奶油爆米花
TID_CHILI_POPCORN,辣味爆米花
TID_BACON_AND_EGGS,培根煎蛋
TID_PANCAKE,小煎饼
TID_HAMBURGER,汉堡包
TID_PIZZA,比萨饼
TID_SPICY_PIZZA,辣味比萨
TID_ROASTED_TOMATOES,烤西红柿
TID_CARROT_JUICE,胡萝卜汁
TID_TOMATO_JUICE,西红柿汁
TID_APPLE_JUICE,苹果汁
TID_CHERRY_JUICE,樱桃汁
TID_BERRY_JUICE,浆果汁
TID_APPLE,苹果
TID_CHERRY,樱桃
TID_CACAO,可可果
TID_RASPBERRY,树莓
TID_BLACKBERRY,黑莓
TID_APPLE_JAM,苹果酱
TID_RASPBERRY_JAM,树莓酱
TID_BLUEBERRY_JAM,黑莓酱
TID_CHERRY_JAM,樱桃酱
TID_VANILLA_ICE_CREAM,香草冰淇淋
TID_CHERRY_POPSICLE,樱桃雪糕
TID_CHOCOLATE_ICE_CREAM,巧克力冰淇淋
TID_APPLE_PIE,苹果派
TID_FETA_PIE,芝士派
TID_BRACELET,手镯
TID_NECKLACE,项链
TID_DIAMOND_RING,钻石戒指
TID_FEED_MILL,饲料厂
TID_BAKERY,面包房
TID_POPCORN_POT,爆米花烤锅
TID_DAIRY,乳品厂
TID_SUGAR_MILL,制糖厂
TID_PIE_OVEN,馅饼烤炉
TID_LOOM,织布机
TID_CAKE_OVEN,蛋糕烤炉
TID_BARBECUE_GRILL,烧烤架
TID_JUICE_PRESS,果汁机
TID_JAM_MAKER,果酱机
TID_ICE_CREAM_MAKER,冰淇淋机
TID_JEWELER,珠宝店
TID_APPLE_TREE,苹果树
TID_CHERRY_TREE,樱桃树
TID_CACAO_TREE,可可树
TID_RASPBERRY_BUSH,树莓丛
TID_BLACKBERRY_BUSH,黑莓丛
TID_DYNAMITE,炸药
TID_DEMOLITION_CHARGE,炸药桶
TID_AXE,斧头
TID_SAW,木锯
TID_SHOVEL,铁铲
TID_PLANK,木板
TID_NAIL,盒钉
TID_BOLT,螺栓
TID_SCREW,螺钉
TID_DUCT_TAPE,胶带
TID_WOOD_PANEL,镶板
TID_EMPTY_FIELD,耕地
TID_CHICKEN,母鸡
TID_COW,奶牛
TID_SHEEP,绵羊
TID_PIG,猪
TID_GOAT,山羊
TID_CHICKEN_HABITAT,鸡舍
TID_COW_HABITAT,奶牛牧场
TID_SHEEP_HABITAT,绵羊圈
TID_PIG_HABITAT,猪圈
TID_GOAT_HABITAT,山羊圈
TID_HAMMERMILL_DESCRIPTION,生产动物饲料
TID_BAKERY_DESCRIPTION,烘烤面包
TID_POPCORN_POT_DESCRIPTION,生产爆米花
TID_DAIRY_DESCRIPTION,生产乳制品
TID_SUGAR_MILL_DESCRIPTION,生产糖制品
TID_PIE_OVEN_DESCRIPTION,烘烤馅饼
TID_LOOM_DESCRIPTION,织造服装
TID_BARBECUE_GRILL_DESCRIPTION,烧烤食物
TID_CAKE_OVEN_DESCRIPTION,烘烤蛋糕
TID_JUICE_PRESS_DESCRIPTION,榨汁
TID_JAM_MAKER_DESCRIPTION,制作果酱
TID_ICE_CREAM_MAKER_DESCRIPTION,制作冰淇淋
TID_JEWELER_DESCRIPTION,制作珠宝
TID_APPLE_TREE_DESCRIPTION,收集三次
TID_CHERRY_TREE_DESCRIPTION,收集三次
TID_CACAO_TREE_DESCRIPTION,收集三次
TID_RASPBERRY_BUSH_DESCRIPTION,收集三次
TID_BLACKBERRY_BUSH_DESCRIPTION,收集三次
TID_NEED_MORE_POPUP_TITLE,资源不足！
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,获取缺少的资源以完成订单。
TID_NEED_MORE_POPUP_GENERIC_TEXT,您可以使用钻石来获取缺少的资源并执行相关操作。
TID_NEED_MORE_CROPS_HINT,您可以从好友处购买缺少的农作物。\n\n或者用钻石立即购买！
TID_NEED_MORE_CROPS_HINT_MOBILE,您可以从好友处购买缺少的农作物。\n\n或者用钻石立即购买！
TID_NEED_MORE_ANIMAL_FOOD_HINT,您可以在饲料厂为小动物们生产更多食物，也可以用钻石购买饲料立即给它们喂食。
TID_SILO_FULL_TITLE,粮仓已满
TID_SILO_FULL_DESCRIPTION,粮仓已满！请升级粮仓以增加容量。
TID_WAREHOUSE_FULL_TITLE,货仓已满
TID_WAREHOUSE_FULL_DESCRIPTION,货仓已满！请升级货仓以增加容量。
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,货仓已满！请升级货仓以增加容量。
TID_LEVEL_UP_TITLE,恭喜！
TID_LEVEL_UP_TEXT,您现在是<LEVEL_NUMBER>级农场主！
TID_LEVEL_UP_ITEM_NEW,新！
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,新！+<REWARD>
TID_ORDER_TABLE_TITLE,订单
TID_ORDER_TITLE_00,幼儿园
TID_ORDER_TITLE_01,学校
TID_ORDER_TITLE_02,教堂
TID_ORDER_TITLE_03,琼斯沙龙
TID_ORDER_TITLE_04,苏珊的小店
TID_ORDER_TITLE_05,迈克磨房
TID_ORDER_TITLE_06,阿本啤酒厂
TID_ORDER_TITLE_07,法比奥渔场
