TID,FI
string,string
TID_LANGUAGE_TITLE,Valitse kieli
TID_SHOP_UNLOCK_TEXT,Avautuu tasolla <LEVELX>.
TID_ANIMAL_SHOP_DESCRIPTION,Tuottaa tuotteen <ITEM> ajassa\n<TIME>.
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,Tarjoaa kodin\n<CAPACITY> kanalle.
TID_COW_HABITAT_SHOP_DESCRIPTION,Tarjoaa kodin\n<CAPACITY> lehmälle.
TID_PIG_HABITAT_SHOP_DESCRIPTION,Tarjoaa kodin\n<CAPACITY> possulle.
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,Tarjoaa kodin\n<CAPACITY> lampaalle.
TID_GOAT_HABITAT_SHOP_DESCRIPTION,Tarjoaa kodin\n<CAPACITY> vuohelle.
TID_MULTIPLE_ITEMS,<ITEM> x <COUNT>
TID_CROP_SHOP_DESCRIPTION,Viljelyskasveja kasvatetaan pelloilla.
TID_EMPTY_FIELD_SHOP_DESCRIPTION,Pelloilla kasvatetaan viljelyskasveja.
TID_TIME_D_H,<D> pv <H> t
TID_TIME_H_M,<H> t <M> min
TID_TIME_H,<H> t
TID_TIME_M_S,<M> min <S> s
TID_TIME_M,<M> min
TID_TIME_S,<S> s
TID_COUNT_OF_MAX,<COUNT>/<MAX>
TID_SILO_STORAGE,Viljavaraston tila: <COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,Ladon varastotila: <COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,Tyhjä
TID_PRODUCTION_LIST_WAITING,Odottaa...
TID_ANIMAL_HUNGRY,Nälkäinen
TID_ANIMAL_READY_TO_HARVEST,Valmis kerättäväksi
TID_WHEAT,Vehnä
TID_CARROT,Porkkana
TID_CORN,Maissi
TID_SOY_BEAN,Soijapapu
TID_SUGAR_CANE,Sokeriruoko
TID_PUMPKIN,Kurpitsa
TID_CHILI,Chili
TID_INDIGO,Indigo
TID_TOMATO,Tomaatti
TID_CHICKEN_FOOD,Kanan rehu
TID_COW_FOOD,Lehmän rehu
TID_SHEEP_FOOD,Lampaan rehu
TID_PIG_FOOD,Possun rehu
TID_GOAT_FOOD,Vuohen rehu
TID_EGG,Muna
TID_MILK,Maito
TID_WOOL,Villa
TID_BACON,Pekoni
TID_GOAT_MILK,Vuohenmaito
TID_CREAM,Kerma
TID_BUTTER,Voi
TID_CHEESE,Juusto
TID_GOAT_CHEESE,Vuohenjuusto
TID_BREAD,Leipä
TID_COOKIE,Keksi
TID_CORN_BREAD,Maissileipä
TID_CHEESE_CAKE,Juustokakku
TID_CARROT_CAKE,Porkkanakakku
TID_BIRTHDAY_CAKE,Kermakakku
TID_CHOCOLATE_CAKE,Suklaakakku
TID_STRAWBERRY_CAKE,Mansikkakakku
TID_CARROT_PIE,Porkkanapiirakka
TID_BACON_PIE,Pekonipiirakka
TID_PUMPKIN_PIE,Kurpitsapiirakka
TID_BROWN_SUGAR,Fariinisokeri
TID_WHITE_SUGAR,Kidesokeri
TID_SYRUP,Siirappi
TID_SWEATER,Villapaita
TID_BLUE_WOOLLY_HAT,Sininen pipo
TID_BLUE_SWEATER,Sininen villapaita
TID_POPCORN,Popcorn
TID_BUTTER_POPCORN,Voi-popcorn
TID_CHILI_POPCORN,Chili-popcorn
TID_BACON_AND_EGGS,Pekoni ja munat
TID_PANCAKE,Lettu
TID_HAMBURGER,Hampurilainen
TID_PIZZA,Pizza
TID_SPICY_PIZZA,Mausteinen pizza
TID_ROASTED_TOMATOES,Grillatut tomaatit
TID_CARROT_JUICE,Porkkanamehu
TID_TOMATO_JUICE,Tomaattimehu
TID_APPLE_JUICE,Omenamehu
TID_CHERRY_JUICE,Kirsikkamehu
TID_BERRY_JUICE,Marjamehu
TID_APPLE,Omena
TID_CHERRY,Kirsikka
TID_CACAO,Kaakao
TID_RASPBERRY,Vadelma
TID_BLACKBERRY,Karhunvatukka
TID_APPLE_JAM,Omenahillo
TID_RASPBERRY_JAM,Vadelmahillo
TID_BLUEBERRY_JAM,Karhunvatukkahillo
TID_CHERRY_JAM,Kirsikkahillo
TID_VANILLA_ICE_CREAM,Vaniljajäätelö
TID_CHERRY_POPSICLE,Kirsikkamehujää
TID_CHOCOLATE_ICE_CREAM,Suklaajäätelö
TID_APPLE_PIE,Omenapiirakka
TID_FETA_PIE,Fetapiirakka
TID_BRACELET,Rannekoru
TID_NECKLACE,Kaulakoru
TID_DIAMOND_RING,Timanttisormus
TID_FEED_MILL,Rehumylly
TID_BAKERY,Leipomo
TID_POPCORN_POT,Popcorn-kattila
TID_DAIRY,Meijeri
TID_SUGAR_MILL,Sokerimylly
TID_PIE_OVEN,Piirakkauuni
TID_LOOM,Kangaspuut
TID_CAKE_OVEN,Kakku-uuni
TID_BARBECUE_GRILL,Grilli
TID_JUICE_PRESS,Mehupuristin
TID_JAM_MAKER,Hillokone
TID_ICE_CREAM_MAKER,Jäätelökone
TID_JEWELER,Kultaseppä
TID_APPLE_TREE,Omenapuu
TID_CHERRY_TREE,Kirsikkapuu
TID_CACAO_TREE,Kaakaopuu
TID_RASPBERRY_BUSH,Vadelmapensas
TID_BLACKBERRY_BUSH,Karhunvatukkapensas
TID_DYNAMITE,Dynamiitti
TID_DEMOLITION_CHARGE,TNT-tynnyri
TID_AXE,Kirves
TID_SAW,Saha
TID_SHOVEL,Lapio
TID_PLANK,Lankku
TID_NAIL,Naula
TID_BOLT,Pultti
TID_SCREW,Ruuvi
TID_DUCT_TAPE,Ilmastointiteippi
TID_WOOD_PANEL,Puupaneeli
TID_EMPTY_FIELD,Pelto
TID_CHICKEN,Kana
TID_COW,Lehmä
TID_SHEEP,Lammas
TID_PIG,Possu
TID_GOAT,Vuohi
TID_CHICKEN_HABITAT,Kanala
TID_COW_HABITAT,Lehmälaidun
TID_SHEEP_HABITAT,Lammaslaidun
TID_PIG_HABITAT,Sikolätti
TID_GOAT_HABITAT,Vuohiaitaus
TID_HAMMERMILL_DESCRIPTION,Tuottaa rehua eläimille.
TID_BAKERY_DESCRIPTION,Leipoo suolaista ja makeaa.
TID_POPCORN_POT_DESCRIPTION,Valmistaa popcornia.
TID_DAIRY_DESCRIPTION,Valmistaa maitotuotteita.
TID_SUGAR_MILL_DESCRIPTION,Valmistaa sokerituotteita.
TID_PIE_OVEN_DESCRIPTION,Leipoo piirakoita.
TID_LOOM_DESCRIPTION,Kutoo vaatteita.
TID_BARBECUE_GRILL_DESCRIPTION,Grillaa ruokaa.
TID_CAKE_OVEN_DESCRIPTION,Leipoo kakkuja.
TID_JUICE_PRESS_DESCRIPTION,Puristaa mehua.
TID_JAM_MAKER_DESCRIPTION,Valmistaa hilloa.
TID_ICE_CREAM_MAKER_DESCRIPTION,Valmistaa jäätelöä.
TID_JEWELER_DESCRIPTION,Valmistaa koruja.
TID_APPLE_TREE_DESCRIPTION,Poimi kolme kertaa.
TID_CHERRY_TREE_DESCRIPTION,Poimi kolme kertaa.
TID_CACAO_TREE_DESCRIPTION,Poimi kolme kertaa.
TID_RASPBERRY_BUSH_DESCRIPTION,Poimi kolme kertaa.
TID_BLACKBERRY_BUSH_DESCRIPTION,Poimi kolme kertaa.
TID_NEED_MORE_POPUP_TITLE,Ei riittävästi resursseja!
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,"Hanki puuttuvat resurssit, niin voit suorittaa tilauksen."
TID_NEED_MORE_POPUP_GENERIC_TEXT,Hanki puuttuvat resurssit ja suorita toiminto käyttämällä timantteja.
TID_NEED_MORE_CROPS_HINT,Voit ostaa puuttuvan sadon kaverilta.\n\nTai osta se heti timanteilla!
TID_NEED_MORE_CROPS_HINT_MOBILE,Voit ostaa puuttuvan sadon kaverilta.\n\nTai osta se heti timanteilla!
TID_NEED_MORE_ANIMAL_FOOD_HINT,Tee rehumyllyllä lisää ruokaa eläimillesi tai ruoki ne heti käyttämällä timantteja.
TID_SILO_FULL_TITLE,Viljavarasto täynnä
TID_SILO_FULL_DESCRIPTION,Viljavarasto on täynnä! Hanki lisää tilaa päivittämällä viljavarasto.
TID_WAREHOUSE_FULL_TITLE,Lato täynnä
TID_WAREHOUSE_FULL_DESCRIPTION,Lato on täynnä! Hanki lisää tilaa päivittämällä lato.
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,Lato on täynnä! Hanki lisää tilaa päivittämällä lato.
TID_LEVEL_UP_TITLE,ONNITTELUT!
TID_LEVEL_UP_TEXT,Olet nyt TASON <LEVEL_NUMBER> FARMARI!
TID_LEVEL_UP_ITEM_NEW,Uusi!
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,Uusi! +<REWARD>
TID_ORDER_TABLE_TITLE,Tilaukset
TID_ORDER_TITLE_00,Lastentarha
TID_ORDER_TITLE_01,Koulu
TID_ORDER_TITLE_02,Kirkko
TID_ORDER_TITLE_03,Joanin salonki
TID_ORDER_TITLE_04,Susanin kauppa
TID_ORDER_TITLE_05,Miken mylly
TID_ORDER_TITLE_06,Benin panimo
TID_ORDER_TITLE_07,Fabion kalastamo
TID_ORDER_TITLE_08,Frankin tehdas
TID_ORDER_TITLE_09,Grantin hautausmaa
TID_ORDER_TABLE_WAITING,Odota hieman...
TID_ORDER_TABLE_WAITING_TEXT,Tämä tilaus ei ole saatavilla. Odota tai nopeuta!
TID_SOCIAL_LOGIN_TITLE,Etsi muita farmareita!
TID_SOCIAL_LOGIN_1_TEXT,"Kirjaudu palveluun <SOCIAL_1>, ja aloita vaihtokauppa kavereiden kanssa!"
TID_SOCIAL_LOGIN_2_TEXT,"Kirjaudu palveluun <SOCIAL_1> tai <SOCIAL_2>, ja aloita vaihtokauppa kavereiden kanssa!"
TID_ROADSIDE_SHOP_TITLE,Tienvarsikoju
TID_ROADSIDE_SHOP_FRIEND_TITLE,Tienvarsikojun omistaa <NAME>.
TID_ROADSIDE_SHOP_ITEM_COUNT,<COUNT> x
TID_ROADSIDE_SHOP_ITEM_SOLD,MYYTY!
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,Aloita uusi myynti.
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,Uusi myynti
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,Muuta hintaa.
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,Laita myyntiin
TID_ROADSIDE_SHOP_ADVERTISE,Mainosta.
TID_ROADSIDE_SHOP_ADVERTISE_WITH_TIME,Mainosta nyt
TID_SHOP_TITLE,Kauppa
TID_TUTORIAL_01,"Päiviä! Olen herra Wicker, ja autan sinut alkuun uudella farmillasi!"
TID_TUTORIAL_02a,"Napauta vehnäpeltoa, ja ota sirppi käteesi. Korjaa sitten sato vetämällä sirppi vehnän ylitse."
TID_TUTORIAL_03a,Napauta tyhjää peltotilkkua. Kylvä sitten siemenet vetämällä vehnää pellon päällä.
TID_TUTORIAL_04,Viljan kasvaminen vaatii aikaa. Sadonkorjuussa jokainen peltotilkku tuottaa kaksi satoa.
TID_TUTORIAL_05a,"Napauta taloasi, ja maalaa se vetämällä pensseli sen ylitse."
TID_TUTORIAL_06a,Hienoa! Latokin voisi kaivata hieman väriä...
TID_TUTORIAL_07a,Sinun kannattaisi maalata myös viljavarasto!
TID_TUTORIAL_10,Upeaa! Kutsutaanpa juhliin siivekkäitä ystäviämmekin!
TID_TUTORIAL_10a,Vedä kana kaupasta kanalaan.
TID_TUTORIAL_11a,Ostetaan toinen kana!
TID_TUTORIAL_12a,Kokeilepa ostaa vielä kolmas kana.
TID_TUTORIAL_13a,"Napauta kanaa, ja ruoki kanat vetämällä rehupussi kanojen luo."
TID_TUTORIAL_14a,Napauta kanaa ja sen jälkeen nopeutuspainiketta!
TID_TUTORIAL_14b,"Napauta kanaa, ja napauta sitten nopeutuspainiketta kahdesti!"
TID_TUTORIAL_14c,"Napauta kanaa, ja pidä sitten nopeutuspainike painettuna!"
TID_TUTORIAL_15a,Maukasta! Nopeuta myös toista kanaa.
TID_TUTORIAL_16a,Munakasta! Nopeuta vielä viimeistä kanaa.
TID_TUTORIAL_17a,Kerää munat vetämällä kori kaikkien kanojen ylitse.
TID_TUTORIAL_20,Hienoa! Kaikesta tästä vehnästä kannattaisi nyt leipoa leipää uudessa leipomossa.
TID_TUTORIAL_20a,Avaa kauppavalikko napauttamalla vasemmassa alakulmassa olevaa painiketta. Osta leipomo vetämällä se maillesi.
TID_TUTORIAL_20a_MOBILE,Avaa kauppavalikko napauttamalla vasemmassa alakulmassa olevaa painiketta. Osta leipomo vetämällä se maillesi.
TID_TUTORIAL_21a,"Odota, että rakennus valmistuu, tai nopeuta sitä timanteilla."
TID_TUTORIAL_22a,"Napauta leipomoa, ja vedä leipä uuniin."
TID_TUTORIAL_23a,Suorita leipominen loppuun välittömästi napauttamalla leivän alla olevaa nopeutuspainiketta. Tuoksuu hyvältä!
TID_TUTORIAL_24,"Kun nouset seuraavalle tasolle, avaat uusia parannuksia. Juuri nyt kaupassa on odottamassa kolme uutta peltotilkkua!"
TID_TUTORIAL_24a,"Avaa kauppavalikko, ja vedä kolme uutta peltotilkkua maillesi."
TID_TUTORIAL_25a,Kylvetäänpä lisää siemeniä. Muistatko miten se tehtiin? (Napauta peltoa!)
TID_TUTORIAL_26,"Iloinen farmi tarvitsee iloisia eläimiä. Rakenna rehumylly ja varmista, että eläimesi eivät koskaan ole nälkäisiä!"
TID_TUTORIAL_26a,Osta rehumylly vetämällä se kaupasta maillesi.
TID_TUTORIAL_27,"Liiketoimet kukoistavat! Jatka sadonkorjuuta, leivän leipomista ja munien tuottamista myyntiin."
TID_TUTORIAL_27a,"Muista, että voit nopeuttaa satoa napauttamalla nopeutuspainiketta."
TID_TUTORIAL_28,"Tööt, tööt. Tavararekka on saapunut! Valmistaudu tilausten tulvaan!"
TID_TUTORIAL_29,"Tilaustaulu näyttää, mitä tilauksia on saatavilla. Ansaitse rahaa ja kokemusta toimittamalla niitä."
TID_TUTORIAL_29a,Napauta tavararekkaa tai tilaustaulua ensimmäistä toimitustasi varten.
