TID,FR
string,string
TID_LANGUAGE_TITLE,Sélectionner la langue
TID_SHOP_UNLOCK_TEXT,Disponible au niveau <LEVELX>
TID_ANIMAL_SHOP_DESCRIPTION,Produit (<ITEM>) obtenu en <TIME>
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,Abri pour <CAPACITY> poules
TID_COW_HABITAT_SHOP_DESCRIPTION,Abri pour <CAPACITY> vaches
TID_PIG_HABITAT_SHOP_DESCRIPTION,Abri pour <CAPACITY> cochons
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,Abri pour <CAPACITY> moutons
TID_GOAT_HABITAT_SHOP_DESCRIPTION,Abri pour <CAPACITY> chèvres
TID_MULTIPLE_ITEMS,<ITEM> x<COUNT>
TID_CROP_SHOP_DESCRIPTION,Les récoltes poussent dans les champs.
TID_EMPTY_FIELD_SHOP_DESCRIPTION,Les champs permettent de faire pousser des récoltes.
TID_TIME_D_H,<D> j <H> h
TID_TIME_H_M,<H> h <M> min
TID_TIME_H,<H> h
TID_TIME_M_S,<M> min <S> s
TID_TIME_M,<M> min
TID_TIME_S,<S> s
TID_COUNT_OF_MAX,<COUNT>/<MAX>
TID_SILO_STORAGE,Capacité du silo : <COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,Capacité de la grange : <COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,Vide
TID_PRODUCTION_LIST_WAITING,En attente...
TID_ANIMAL_HUNGRY,À nourrir
TID_ANIMAL_READY_TO_HARVEST,À récupérer
TID_WHEAT,Blé
TID_CARROT,Carotte
TID_CORN,Maïs
TID_SOY_BEAN,Soja
TID_SUGAR_CANE,Canne à sucre
TID_PUMPKIN,Citrouille
TID_CHILI,Piment
TID_INDIGO,Indigo
TID_TOMATO,Tomate
TID_CHICKEN_FOOD,Ration volaille
TID_COW_FOOD,Ration vache
TID_SHEEP_FOOD,Ration mouton
TID_PIG_FOOD,Ration cochon
TID_GOAT_FOOD,Ration chèvre
TID_EGG,Œuf
TID_MILK,Lait
TID_WOOL,Laine
TID_BACON,Bacon
TID_GOAT_MILK,Lait de chèvre
TID_CREAM,Crème
TID_BUTTER,Beurre
TID_CHEESE,Fromage
TID_GOAT_CHEESE,Fromage de chèvre
TID_BREAD,Pain
TID_COOKIE,Cookie
TID_CORN_BREAD,Pain de maïs
TID_CHEESE_CAKE,Cheesecake
TID_CARROT_CAKE,Gâteau à la carotte
TID_BIRTHDAY_CAKE,Gâteau à la crème
TID_CHOCOLATE_CAKE,Gâteau au chocolat
TID_STRAWBERRY_CAKE,Gâteau aux fraises
TID_CARROT_PIE,Tarte à la carotte
TID_BACON_PIE,Tarte au bacon
TID_PUMPKIN_PIE,Tarte à la citrouille
TID_BROWN_SUGAR,Sucre roux
TID_WHITE_SUGAR,Sucre blanc
TID_SYRUP,Sirop
TID_SWEATER,Pull
TID_BLUE_WOOLLY_HAT,Bonnet bleu
TID_BLUE_SWEATER,Pull bleu
TID_POPCORN,Pop-corn
TID_BUTTER_POPCORN,Pop-corn au beurre
TID_CHILI_POPCORN,Pop-corn au piment
