TID,IT
string,string
TID_LANGUAGE_TITLE,Seleziona lingua
TID_SHOP_UNLOCK_TEXT,Si sblocca al livello <LEVELX>
TID_ANIMAL_SHOP_DESCRIPTION,Produce <ITEM> in <TIME>
TID_CHICKEN_HABITAT_SHOP_DESCRIPTION,Accoglie <CAPACITY> galline
TID_COW_HABITAT_SHOP_DESCRIPTION,Accoglie <CAPACITY> mucche
TID_PIG_HABITAT_SHOP_DESCRIPTION,Accoglie <CAPACITY> maiali
TID_SHEEP_HABITAT_SHOP_DESCRIPTION,Accoglie <CAPACITY> pecore
TID_GOAT_HABITAT_SHOP_DESCRIPTION,Accoglie <CAPACITY> capre
TID_MULTIPLE_ITEMS,<ITEM> x<COUNT>
TID_CROP_SHOP_DESCRIPTION,Pianta le colture nei campi per farle crescere
TID_EMPTY_FIELD_SHOP_DESCRIPTION,I campi servono a far crescere le colture
TID_TIME_D_H,<D> g <H> h
TID_TIME_H_M,<H> h <M> min
TID_TIME_H,<H> h
TID_TIME_M_S,<M> min <S> sec
TID_TIME_M,<M> min
TID_TIME_S,<S> sec
TID_COUNT_OF_MAX,<COUNT>/<MAX>
TID_SILO_STORAGE,Capienza silo: <COUNT>/<MAX>
TID_WAREHOUSE_STORAGE,Capienza granaio: <COUNT>/<MAX>
TID_PRODUCTION_LIST_EMPTY_ITEM,Vuoto
TID_PRODUCTION_LIST_WAITING,In attesa...
TID_ANIMAL_HUNGRY,Ha fame
TID_ANIMAL_READY_TO_HARVEST,Puoi raccogliere
TID_WHEAT,Grano
TID_CARROT,Carota
TID_CORN,Granoturco
TID_SOY_BEAN,Soia
TID_SUGAR_CANE,Canna da zucch.
TID_PUMPKIN,Zucca
TID_CHILI,Peperoncino
TID_INDIGO,Indaco
TID_TOMATO,Pomodoro
TID_CHICKEN_FOOD,Cibo per galline
TID_COW_FOOD,Cibo per mucche
TID_SHEEP_FOOD,Cibo per pecore
TID_PIG_FOOD,Cibo per maiali
TID_GOAT_FOOD,Cibo per capre
TID_EGG,Uovo
TID_MILK,Latte
TID_WOOL,Lana
TID_BACON,Pancetta
TID_GOAT_MILK,Latte di capra
TID_CREAM,Panna
TID_BUTTER,Burro
TID_CHEESE,Formaggio
TID_GOAT_CHEESE,Formaggio di capra
TID_BREAD,Pane
TID_COOKIE,Biscotto
TID_CORN_BREAD,Pane integrale
TID_CHEESE_CAKE,Cheesecake
TID_CARROT_CAKE,Torta di carote
TID_BIRTHDAY_CAKE,Torta con panna
TID_CHOCOLATE_CAKE,Torta al cioccolato
TID_STRAWBERRY_CAKE,Torta di fragole
TID_CARROT_PIE,Past. di carote
TID_BACON_PIE,Past. di pancetta
TID_PUMPKIN_PIE,Torta di zucca
TID_BROWN_SUGAR,Zucch. di canna
TID_WHITE_SUGAR,Zucchero
TID_SYRUP,Sciroppo
TID_SWEATER,Maglione
TID_BLUE_WOOLLY_HAT,Cappello di lana
TID_BLUE_SWEATER,Maglione blu
TID_POPCORN,Popcorn
TID_BUTTER_POPCORN,Popcorn al burro
TID_CHILI_POPCORN,Popcorn piccanti
TID_BACON_AND_EGGS,Pancetta e uova
TID_PANCAKE,Pancake
TID_HAMBURGER,Hamburger
TID_PIZZA,Pizza
TID_SPICY_PIZZA,Pizza speziata
TID_ROASTED_TOMATOES,Pomodori arrosto
TID_CARROT_JUICE,Succo di carota
TID_TOMATO_JUICE,Succo di pomodoro
TID_APPLE_JUICE,Succo di mela
TID_CHERRY_JUICE,Succo di ciliegia
TID_BERRY_JUICE,{size=15}Succo di frutti di bosco
TID_APPLE,Mele
TID_CHERRY,Ciliegie
TID_CACAO,Cacao
TID_RASPBERRY,Lamponi
TID_BLACKBERRY,More
TID_APPLE_JAM,Marmellata di mele
TID_RASPBERRY_JAM,Marmellata di lamponi
TID_BLUEBERRY_JAM,Marmellata di more
TID_CHERRY_JAM,Marmellata di ciliegie
TID_VANILLA_ICE_CREAM,Gelato alla vaniglia
TID_CHERRY_POPSICLE,Ghiacciolo alla ciliegia
TID_CHOCOLATE_ICE_CREAM,Gelato al cioccolato
TID_APPLE_PIE,Torta di mele
TID_FETA_PIE,Torta di feta
TID_BRACELET,Bracciale
TID_NECKLACE,Collana
TID_DIAMOND_RING,Anello di diamanti
TID_FEED_MILL,Mangimificio
TID_BAKERY,Panetteria
TID_POPCORN_POT,Stufa per popcorn
TID_DAIRY,Caseificio
TID_SUGAR_MILL,Zuccherificio
TID_PIE_OVEN,Forno pasticci
TID_LOOM,Telaio
TID_CAKE_OVEN,Forno torte
TID_BARBECUE_GRILL,Barbecue
TID_JUICE_PRESS,Spremitrice
TID_JAM_MAKER,Marmellatiera
TID_ICE_CREAM_MAKER,Gelatiera
TID_JEWELER,Gioielliere
TID_APPLE_TREE,Melo
TID_CHERRY_TREE,Ciliegio
TID_CACAO_TREE,Albero del cacao
TID_RASPBERRY_BUSH,Cespuglio di lamponi
TID_BLACKBERRY_BUSH,Cespuglio di more
TID_DYNAMITE,Dinamite
TID_DEMOLITION_CHARGE,Barile di TNT
TID_AXE,Ascia
TID_SAW,Sega
TID_SHOVEL,Pala
TID_PLANK,Asse
TID_NAIL,Chiodo
TID_BOLT,Bullone
TID_SCREW,Vite
TID_DUCT_TAPE,Nastro isolante
TID_WOOD_PANEL,Pannello di legno
TID_EMPTY_FIELD,Campo
TID_CHICKEN,Gallina
TID_COW,Mucca
TID_SHEEP,Pecora
TID_PIG,Maiale
TID_GOAT,Capra
TID_CHICKEN_HABITAT,Pollaio
TID_COW_HABITAT,Pascolo per mucche
TID_SHEEP_HABITAT,Pascolo per pecore
TID_PIG_HABITAT,Porcile
TID_GOAT_HABITAT,Recinto per capre
TID_HAMMERMILL_DESCRIPTION,Produce mangime per animali
TID_BAKERY_DESCRIPTION,Cuoce leccornie
TID_POPCORN_POT_DESCRIPTION,Produce popcorn
TID_DAIRY_DESCRIPTION,Produce prodotti caseari
TID_SUGAR_MILL_DESCRIPTION,Produce beni dolciari
TID_PIE_OVEN_DESCRIPTION,Sforna pasticci
TID_LOOM_DESCRIPTION,Produce abiti
TID_BARBECUE_GRILL_DESCRIPTION,Griglia cibo
TID_CAKE_OVEN_DESCRIPTION,Sforna torte
TID_JUICE_PRESS_DESCRIPTION,Prepara succhi
TID_JAM_MAKER_DESCRIPTION,Prepara marmellata
TID_ICE_CREAM_MAKER_DESCRIPTION,Fa il gelato
TID_JEWELER_DESCRIPTION,Produce gioielli
TID_APPLE_TREE_DESCRIPTION,Raccogli tre volte
TID_CHERRY_TREE_DESCRIPTION,Raccogli tre volte
TID_CACAO_TREE_DESCRIPTION,Raccogli tre volte
TID_RASPBERRY_BUSH_DESCRIPTION,Raccogli tre volte
TID_BLACKBERRY_BUSH_DESCRIPTION,Raccogli tre volte
TID_NEED_MORE_POPUP_TITLE,Risorse insufficienti!
TID_NEED_MORE_RESOURCES_CANT_BUY_TEXT,Ottieni le risorse mancanti per completare l'ordine.
TID_NEED_MORE_POPUP_GENERIC_TEXT,Ottieni le risorse mancanti e completa l'azione usando i diamanti.
TID_NEED_MORE_CROPS_HINT,Puoi comprare le colture che ti mancano da un amico.\n\nOppure comprale subito con i diamanti!
TID_NEED_MORE_CROPS_HINT_MOBILE,Puoi comprare le colture che ti mancano da un amico.\n\nOppure comprale subito con i diamanti!
TID_NEED_MORE_ANIMAL_FOOD_HINT,Produci più cibo per i tuoi animali con il mangimificio o sfamali subito usando i diamanti.
TID_SILO_FULL_TITLE,Silo pieno
TID_SILO_FULL_DESCRIPTION,Il silo è pieno! Ottieni più spazio migliorando il tuo silo.
TID_WAREHOUSE_FULL_TITLE,Granaio pieno
TID_WAREHOUSE_FULL_DESCRIPTION,Il granaio è pieno! Ottieni più spazio migliorando il tuo granaio.
TID_WAREHOUSE_FULL_DESCRIPTION_MOBILE,Il granaio è pieno! Ottieni più spazio migliorando il tuo granaio.
TID_LEVEL_UP_TITLE,CONGRATULAZIONI!
TID_LEVEL_UP_TEXT,Ora sei un CONTADINO DI LIVELLO <LEVEL_NUMBER>!
TID_LEVEL_UP_ITEM_NEW,Novità!
TID_LEVEL_UP_ITEM_NEW_AND_REWARD,Novità! +<REWARD>
TID_ORDER_TABLE_TITLE,Ordini
TID_ORDER_TITLE_00,Asilo
TID_ORDER_TITLE_01,Scuola
TID_ORDER_TITLE_02,Chiesa
TID_ORDER_TITLE_03,Salone di Joan
TID_ORDER_TITLE_04,Negozio di Susan
TID_ORDER_TITLE_05,Mulino di Mike
TID_ORDER_TITLE_06,Birrificio di Ben
TID_ORDER_TITLE_07,Pescheria di Fabio
TID_ORDER_TITLE_08,Fabbrica di Frank
TID_ORDER_TITLE_09,Cimitero di Grant
TID_ORDER_TABLE_WAITING,Attendi...
TID_ORDER_TABLE_WAITING_TEXT,L'ordine non è disponibile. Attendi o accelera!
TID_SOCIAL_LOGIN_TITLE,Trova altri contadini!
TID_SOCIAL_LOGIN_1_TEXT,Accedi a <SOCIAL_1> e inizia a commerciare oggetti con i tuoi amici!
TID_SOCIAL_LOGIN_2_TEXT,Accedi a <SOCIAL_1> o <SOCIAL_2> e inizia a commerciare oggetti con i tuoi amici!
TID_ROADSIDE_SHOP_TITLE,Bancarella
TID_ROADSIDE_SHOP_FRIEND_TITLE,Bancarella di <NAME>
TID_ROADSIDE_SHOP_ITEM_COUNT,x<COUNT>
TID_ROADSIDE_SHOP_ITEM_SOLD,VENDUTO!
TID_ROADSIDE_SHOP_CREATE_NEW_SALE,Crea nuova vendita
TID_ROADSIDE_SHOP_NEW_SALE_TITLE,Nuova vendita
TID_ROADSIDE_SHOP_NEW_SALE_ADJUST_PRICE,Stabilisci il prezzo
TID_ROADSIDE_SHOP_NEW_SALE_CONFIRM_BUTTON,Metti in vendita
