,,적용 레벨 범위,적용 레벨 범위,아이템 계층 타입,임계치 (잠재 수용 총량의 배수),임계치에 따른 계수
Id,DeliveryType,MinLevel,MaxLevel,ItemLayerType,ThresholdList,ScoreMultiplierList
int,enum:DeliveryType,int,int,enum:ItemLayerType,float[],float[]
1,Truck,1,7,Top,4 / 5 / 6,0.5 / 1 / 1.5
2,Truck,8,13,Top,4 / 5 / 6,0.5 / 1 / 1.5
3,Truck,8,13,Crops,2,0.5
4,Truck,14,9999,Top,4 / 5 / 6,0.5 / 1 / 1.5
5,Truck,14,9999,Mid,1.5 / 2,0.5 / 1
6,Truck,14,9999,Crops,2,0.5
7,Train,1,7,Top,4 / 5 / 6,0.5 / 1 / 1.5
8,Train,8,13,Top,4 / 5 / 6,0.5 / 1 / 1.5
9,Train,8,13,Crops,2,0.5
10,Train,14,9999,Top,4 / 5 / 6,0.5 / 1 / 1.5
11,Train,14,9999,Mid,1.5 / 2,0.5 / 1
12,Train,14,9999,Crops,2,0.5
