건물 대분류,,모든 건물 이름,,아이템 대분류,,종족,,,,성격 종류,,성별 종류,,외형 요소 종류,,외형 희귀도,,코스튬타입,,코스튬희귀도,,스킬 희귀도,,스킬 발동 컨디션,,스킬 대분류,,스킬 소분류,,즐겨찾기 타입,,Enum value 타입,,건물 슬롯 타입,,동물 출현지 타입,,,,,,,,,,,,,,,,,,,,삭제 예정,,삭제 예정,
BuildingCategory,value:BuildingCategory,BuildingType,value:BuildingType,ItemCategory,value:ItemCategory,AnimalType,value:AnimalType,AnimalGradeType,value:AnimalGradeType,PersonalityType,value:PersonalityType,GenderType,value:GenderType,BodyComponentType,value:BodyComponentType,BodyComponentGradeType,value:BodyComponentGradeType,CostumePartType,value:CostumePartType,CostumeGradeType,value:CostumeGradeType,SkillGradeType,value:SkillGradeType,SkillCondition,value:SkillCondition,SkillCategory,value:SkillCategory,StatType,value:StatType,FavoriteType,value:FavoriteType,ValueType,value:ValueType,BuildingSlotType,value:BuildingSlotType,SpawnLocationType,value:SpawnLocationType,RepeatScopeType,value:RepeatScopeType,ItemLayerType,value:ItemLayerType,DeliveryPatternDifficultyType,value:DeliveryPatternDifficultyType,DeliveryType,value:DeliveryType,MaterialType,value:MaterialType,CollectibleType,value:CollectibleType,CollectibleGradeType,value:CollectibleGradeType,Season,value:Season,TimeOfDay,value:TimeOfDay,ProductionTargetType,value:ProductionTargetType,ProductionCaseType,value:ProductionCaseType
All,0,None,0,All,0,Rabbit,3000,Common,0,GymRat,1000,Male,2000,FaceSet,0,Common,0,Hat,0,Common,0,Common,0,None,4000,Production,0,ProductivityValue,1000,Red,0,StringValue,0,Production,0,None,0,Created,0,None,0,VeryEasy,0,All,0,All,0,Bug,0,Common,0,All,0,All,0,Field,0,ItemCount,0
Farming,1,Storage,1,Crops,1,Frog,3001,Uncommon,1,Cute,1001,Female,2001,Ear,1,Uncommon,1,Face,1,Uncommon,1,Uncommon,1,Wet,4001,Dispatch,1,ExtraProductionChance,1001,Orange,1,FloatValue,1,Animal,1,Camp,1,Completed,1,Top,1,Easy,1,Truck,1,Storage,1,Fish,1,Uncommon,1,Normal,1,Dawn,1,Factory,1,CraftTime,1
Factory,2,Bedroom,2,Food,2,Squirrel,3002,Rare,2,Joyful,1002,Both,2002,Jaw,2,Rare,2,Body,2,Rare,2,Rare,2,,,Breeding,2,,,Yellow,2,IntValue,2,Shelf,2,Invite,2,Active,2,Mid,2,Normal,2,Train,2,Land,2,Relic,2,Rare,2,Storm,2,Morning,2,,,RemainItemCount,2
Public,3,Field,3,Material,3,Hedgehog,3003,Unique,3,BigEater,1003,,,Cheek,3,Unique,3,Etc,3,Unique,3,Unique,3,,,,,,,Green,3,IntArrayValue,3,,,,,,,Crops,3,Hard,3,,,Construction,3,Fossil,3,Unique,3,Scorching,3,Noon,3,,,RemainCraftTime,3
Living,4,Cowshed,4,Currency,4,Fox,3004,Epic,4,Sleepy,1004,,,Spike,4,Epic,4,,,Epic,4,Epic,4,,,,,,,Blue,4,,,,,,,,,,,VeryHard,4,,,,,,,Epic,4,Blizzard,4,Afternoon,4,,,,
Unlocking,5,Bakery,5,Collectible,5,Hamster,3005,Legendary,5,,,,,Tail,5,Legendary,5,,,Legendary,5,Legendary,5,,,,,,,Indigo,5,,,,,,,,,,,,,,,,,,,Legendary,5,Snow,5,Evening,5,,,,
,,FeedMill,6,,,Sparrow,3006,Mythic,6,,,,,Crest,6,Mythic,6,,,Mythic,6,Mythic,6,,,,,,,Violet,6,,,,,,,,,,,,,,,,,,,Mythic,6,Rain,6,Night,6,,,,
,,DairyShop,7,,,Rat,3007,Primeval,7,,,,,Trunk,7,Primeval,7,,,Primeval,7,Primeval,7,,,,,,,,,,,,,,,,,,,,,,,,,,,Primeval,7,Night,7,Midnight,7,,,,
