,,재료 id,재료 별 필요량,
Id,CraftGroupId:group,ItemId,ItemAmount,#Tmp
int,string,string:Item,int,
1,Wheat,Coin,0,
2,Corn,Coin,1,
3,Carrot,Coin,2,
4,Cotton,Coin,3,
5,Tomato,Coin,4,
6,CowFeed,Wheat,1,
7,CowFeed,Corn,1,
8,ChickenFeed,Wheat,1,
9,ChickenFeed,Carrot,1,
10,Milk,CowFeed,1,
11,Egg,ChickenFeed,1,
12,Bread,Wheat,2,
13,Cookie,Wheat,2,
14,Cookie,Egg,2,
15,Cream,Milk,2,
16,Cheese,Milk,4,
17,CarrotSoup,Wheat,5,
18,CarrotSoup,Carrot,3,
19,CarrotSoup,Cream,1,
20,SheepFeed,Corn,1,
21,SheepFeed,Carrot,1,
22,PigFeed,Wheat,1,
23,PigFeed,Corn,1,
24,PigFeed,Carrot,1,
25,Wool,SheepFeed,1,
26,Bacon,PigFeed,1,
27,CornSoup,Wheat,5,
28,CornSoup,Corn,5,
29,CornSoup,Cream,1,
30,TomatoSoup,Wheat,5,
31,TomatoSoup,Tomato,3,
32,TomatoSoup,Cream,1,
33,CottonFabric,Cotton,2,
34,Yarm,Wool,2,
35,Shirt,CottonFabric,1,
36,Sweater,Yarm,1,
37,Coat,CottonFabric,1,
38,Coat,Yarm,1,
39,BaconEgg,Bacon,2,
40,BaconEgg,Egg,2,
41,Hamburger,Bread,2,
42,Hamburger,Bacon,2,
43,Hamburger,Cheese,1,
44,Storage_1,Coin,0,
45,Bedroom_1,Coin,10,
46,Field_1,Coin,0,
47,Field_2,Coin,0,
48,Field_3,Coin,0,
49,Field_4,Coin,0,
50,Field_5,Coin,0,
51,Field_6,Coin,0,
52,Cowshed_1,Coin,20,
53,Cowshed_2,Coin,20,
54,Bakery_1,Coin,0,
55,Bakery_Seq1_Completion,Coin,1,
56,FeedMill_1,Coin,30,
57,FeedMill_2,Coin,70,
58,DairyShop_1,Coin,70,
59,ChickenCoop_1,Coin,30,
60,SoupShop_1,Coin,100,
61,SheepFarm_1,Coin,0,
62,PigFarm_1,Coin,1,
63,TextileMill_1,Coin,0,
64,TailorShop_1,Coin,1,
65,Restaurant_1,Coin,1,
66,Truck_1,Coin,0,
67,RabbitBedRoom_1,Coin,10,
68,Library_1,Coin,10,
69,Trampoline_1,Coin,10,
70,Toilet_1,Coin,10,
71,TVRoom_1,Coin,10,
72,Cafe_1,Coin,10,
73,WaterRoom_1,Coin,10,
74,DiningRoom_1,Coin,10,
75,Banquet_1,Coin,10,
76,TravelersCamp_1,Coin,0,
77,CommunityCenter_1,Coin,0,
78,LoveNest_1,Coin,0,
79,BasicRoom_1,Coin,0,
80,Train_1,Coin,0,
81,Cowshed_1_ProductionSlot4,Coin,5,
82,Cowshed_1_ProductionSlot5,Coin,10,
83,Cowshed_1_ProductionSlot6,Coin,15,
84,Cowshed_1_AnimalSlot2,Coin,200,
85,Cowshed_2_ProductionSlot4,Coin,10,
86,Cowshed_2_ProductionSlot5,Coin,15,
87,Cowshed_2_ProductionSlot6,Coin,20,
88,ChickenCoop_1_ProductionSlot4,Coin,15,
89,ChickenCoop_1_ProductionSlot5,Coin,25,
90,ChickenCoop_1_ProductionSlot6,Coin,35,
91,SheepFarm_1_ProductionSlot4,Coin,30,
92,SheepFarm_1_ProductionSlot5,Coin,60,
93,SheepFarm_1_ProductionSlot6,Coin,90,
94,PigFarm_1_ProductionSlot4,Coin,50,
95,PigFarm_1_ProductionSlot5,Coin,100,
96,PigFarm_1_ProductionSlot6,Coin,150,
97,Bakery_1_ProductionSlot3,Cash,1,
98,Bakery_1_ProductionSlot4,Cash,2,
99,Bakery_1_ProductionSlot5,Cash,3,
100,FeedMill_1_ProductionSlot3,Cash,1,
101,FeedMill_1_ProductionSlot4,Cash,2,
102,FeedMill_1_ProductionSlot5,Cash,3,
103,FeedMill_2_ProductionSlot3,Cash,1,
104,FeedMill_2_ProductionSlot4,Cash,2,
105,FeedMill_2_ProductionSlot5,Cash,3,
106,DairyShop_1_ProductionSlot3,Cash,1,
107,DairyShop_1_ProductionSlot4,Cash,2,
108,DairyShop_1_ProductionSlot5,Cash,3,
109,SoupShop_1_ProductionSlot3,Cash,1,
110,SoupShop_1_ProductionSlot4,Cash,2,
111,SoupShop_1_ProductionSlot5,Cash,3,
112,TextileMill_1_ProductionSlot3,Cash,1,
113,TextileMill_1_ProductionSlot4,Cash,2,
114,TextileMill_1_ProductionSlot5,Cash,3,
115,TailorShop_1_ProductionSlot3,Cash,1,
116,TailorShop_1_ProductionSlot4,Cash,2,
117,TailorShop_1_ProductionSlot5,Cash,3,
118,Restaurant_1_ProductionSlot3,Cash,1,
119,Restaurant_1_ProductionSlot4,Cash,2,
120,Restaurant_1_ProductionSlot5,Cash,3,
121,StorageUpgrade_Level1,Hammer,2,
122,StorageUpgrade_Level1,Nails,2,
123,StorageUpgrade_Level1,PaintBucket,2,
124,StorageUpgrade_Level2,Hammer,3,
125,StorageUpgrade_Level2,Nails,3,
126,StorageUpgrade_Level2,PaintBucket,3,
127,StorageUpgrade_Level3,Hammer,4,
128,StorageUpgrade_Level3,Nails,4,
129,StorageUpgrade_Level3,PaintBucket,4,
130,StorageUpgrade_Level4,Hammer,4,
131,StorageUpgrade_Level4,Nails,4,
132,StorageUpgrade_Level4,PaintBucket,4,
133,StorageUpgrade_Level5,Hammer,4,
134,StorageUpgrade_Level5,Nails,4,
135,StorageUpgrade_Level5,PaintBucket,4,
136,StorageUpgrade_Level6,Hammer,4,
137,StorageUpgrade_Level6,Nails,4,
138,StorageUpgrade_Level6,PaintBucket,4,
139,StorageUpgrade_Level7,Hammer,4,
140,StorageUpgrade_Level7,Nails,4,
141,StorageUpgrade_Level7,PaintBucket,4,
142,StorageUpgrade_Level8,Hammer,4,
143,StorageUpgrade_Level8,Nails,4,
144,StorageUpgrade_Level8,PaintBucket,4,
145,100001,Bread,1,
146,100002,Wheat,2,
147,100003,Wheat,5,
148,100004,Milk,1,
149,100005,Wheat,2,
150,100005,Bread,1,
151,100006,Corn,3,
152,100007,Corn,2,
153,100007,Bread,1,
154,100008,Wheat,3,
155,100008,Corn,1,
156,100008,Bread,1,
157,100009,Wheat,4,
158,100009,Milk,2,
159,100010,Cookie,1,
160,100011,Corn,1,
161,100011,Bread,1,
162,100012,Carrot,2,
163,100013,Milk,2,
164,100013,Bread,2,
165,240001,Wheat,1,
166,240001,Corn,1,
167,240001,Carrot,1,
168,240002,Milk,2,
169,240002,Wheat,1,
170,240002,Corn,1,
171,240003,Milk,6,
172,240004,Bread,2,
173,240005,Corn,4,
174,240006,Wheat,2,
175,240006,Carrot,1,
176,100014,Cream,2,
177,100015,Cheese,1,
178,100016,Milk,2,
179,100016,Egg,2,
180,100017,Wheat,3,
181,100017,Corn,2,
182,100017,Carrot,1,
183,100018,Cream,1,
184,100018,Cookie,1,
185,100019,Wheat,2,
186,100019,Bread,1,
187,100020,Bread,1,
188,100020,Milk,1,
189,100020,Egg,1,
190,250001,Wheat,2,
191,250001,Corn,2,
192,250001,Carrot,2,
193,250002,Corn,2,
194,250002,Cookie,1,
195,250003,Milk,2,
196,250003,Cream,1,
197,250004,Carrot,3,
198,250004,Cheese,1,
199,250005,Wheat,5,
200,250005,Bread,2,
201,250006,Corn,2,
202,250006,Bread,2,
203,250007,Milk,1,
204,250007,Cream,1,
205,250007,Cheese,1,
206,250008,Corn,2,
207,250008,Carrot,2,
