,,보상품 id,보상 별 지급량
Id,RewardGroupId,ItemId,ItemAmount
int,string,string:Item,int
1,Wheat,Wheat,1
2,Wheat,Exp,1
3,Corn,Corn,1
4,Corn,Exp,2
5,Carrot,Carrot,1
6,Carrot,Exp,3
7,Cotton,Cotton,1
8,Cotton,Exp,4
9,Tomato,Tomato,1
10,Tomato,Exp,5
11,Milk,Milk,1
12,Milk,Exp,3
13,Egg,Egg,1
14,Egg,Exp,5
15,CowFeed,CowFeed,3
16,CowFeed,Exp,3
17,ChickenFeed,ChickenFeed,3
18,ChickenFeed,Exp,5
19,Bread,Bread,1
20,Bread,Exp,2
21,Cookie,Cookie,1
22,Cookie,Exp,4
23,Cream,Cream,1
24,Cream,Exp,3
25,Cheese,Cheese,1
26,Cheese,Exp,8
27,CarrotSoup,CarrotSoup,1
28,CarrotSoup,Exp,5
29,SheepFeed,SheepFeed,3
30,SheepFeed,Exp,1
31,PigFeed,PigFeed,3
32,PigFeed,Exp,1
33,Wool,Wool,1
34,Wool,Exp,1
35,Bacon,Bacon,1
36,Bacon,Exp,1
37,CornSoup,CornSoup,1
38,CornSoup,Exp,1
39,TomatoSoup,TomatoSoup,1
40,TomatoSoup,Exp,1
41,CottonFabric,CottonFabric,1
42,CottonFabric,Exp,1
43,Yarm,Yarm,1
44,Yarm,Exp,1
45,Shirt,Shirt,1
46,Shirt,Exp,1
47,Sweater,Sweater,1
48,Sweater,Exp,1
49,Coat,Coat,1
50,Coat,Exp,1
51,BaconEgg,BaconEgg,1
52,BaconEgg,Exp,1
53,Hamburger,Hamburger,1
54,Hamburger,Exp,1
55,AnimalAlphaMission,Cash,1
56,AnimalAlphaMission,Exp,30
57,AnimalAlphaMission,Hammer,1
58,AnimalBravoMission,Nails,1
59,AnimalBravoMission,PaintBucket,1
60,AnimalBravoMission,Cash,1
61,AnimalCharlieMission,Exp,30
62,AnimalCharlieMission,Hammer,1
63,AnimalCharlieMission,Nails,1
64,AnimalDeltaMission,PaintBucket,1
65,AnimalDeltaMission,Cash,1
66,AnimalDeltaMission,Exp,30
67,AnimalEchoMission,Hammer,1
68,AnimalEchoMission,Nails,1
69,AnimalEchoMission,PaintBucket,1
70,AnimalFoxtrotMission,Cash,1
71,AnimalFoxtrotMission,Exp,30
72,AnimalFoxtrotMission,Hammer,1
73,AnimalGolfMission,Nails,1
74,AnimalGolfMission,PaintBucket,1
75,AnimalGolfMission,Cash,1
76,AnimalHotelMission,Exp,30
77,AnimalHotelMission,Hammer,1
78,AnimalHotelMission,Nails,1
79,AnimalIndiaMission,PaintBucket,1
80,AnimalIndiaMission,Cash,1
81,AnimalIndiaMission,Exp,30
82,AnimalJuliettMission,Hammer,1
83,AnimalJuliettMission,Nails,1
84,AnimalJuliettMission,PaintBucket,1
85,100001,Coin,6
86,100001,Exp,6
87,100002,Coin,4
88,100002,Exp,4
89,100003,Coin,10
90,100003,Exp,10
91,100004,Coin,4
92,100004,Exp,4
93,100005,Coin,10
94,100005,Exp,10
95,100006,Coin,9
96,100006,Exp,9
97,100007,Coin,12
98,100007,Exp,12
99,100008,Coin,15
100,100008,Exp,15
101,100009,Coin,16
102,100009,Exp,16
103,100009,AnimalInvite,1
104,100010,Coin,37
105,100010,Exp,37
106,100010,AnimalInvite,1
107,100011,Coin,9
108,100011,Exp,9
109,100012,Coin,10
110,100012,Exp,10
111,100013,Coin,20
112,100013,Exp,20
113,240001,Coin,10
114,240001,Exp,10
115,240002,Coin,13
116,240002,Exp,13
117,240002,AnimalInvite,1
118,240003,Coin,24
119,240003,Exp,24
120,240004,Coin,12
121,240004,Exp,12
122,240005,Coin,12
123,240005,Exp,12
124,240006,Coin,9
125,240006,Exp,9
126,100014,Coin,18
127,100014,Exp,18
128,100014,AnimalInvite,1
129,100015,Coin,18
130,100015,Exp,18
131,100016,Coin,20
132,100016,Exp,20
133,100017,Coin,17
134,100017,Exp,17
135,100018,Coin,46
136,100018,Exp,46
137,100018,AnimalInvite,1
138,100019,Coin,10
139,100019,Exp,10
140,100020,Coin,16
141,100020,Exp,16
142,250001,Coin,20
143,250001,Exp,20
144,250002,Coin,43
145,250002,Exp,43
146,250002,AnimalInvite,1
147,250003,Exp,17
148,250003,Coin,17
149,250004,Exp,33
150,250004,Coin,33
151,250004,AnimalInvite,1
152,250005,Exp,22
153,250005,Coin,22
154,250006,Exp,18
155,250006,Coin,18
156,250007,Exp,31
157,250007,Coin,31
158,250008,Coin,16
159,250008,Exp,16
160,250009,Coin,15
161,250009,Exp,15
162,100021,Coin,83
163,100021,Exp,83
164,100021,AnimalInvite,1
165,100022,Coin,49
166,100022,Exp,49
167,100023,Coin,16
168,100023,Exp,16
169,100024,Coin,31
170,100024,Exp,31
171,100025,Coin,89
172,100025,Exp,89
173,100025,AnimalInvite,1
174,100026,Coin,20
175,100026,Exp,20
176,100027,Coin,20
177,100027,Exp,20
178,100028,Coin,101
179,100028,Exp,101
180,100028,AnimalInvite,1
181,100029,Coin,53
182,100029,Exp,53
183,260001,Coin,27
184,260001,Exp,27
185,260002,Coin,24
186,260002,Exp,24
187,260003,Coin,12
188,260003,Exp,12
189,260004,Coin,16
190,260004,Exp,16
191,260005,Coin,98
192,260005,Exp,98
193,260005,AnimalInvite,1
194,260006,Coin,166
195,260006,Exp,166
196,260006,AnimalInvite,2
197,260007,Coin,48
198,260007,Exp,48
199,260008,Coin,22
200,260008,Exp,22
201,260009,Coin,91
202,260009,Exp,91
203,260009,AnimalInvite,1
204,260010,Coin,18
205,260010,Exp,18
206,260011,Coin,25
207,260011,Exp,25
208,100030,Coin,166
209,100030,Exp,166
210,100030,AnimalInvite,2
211,100031,Coin,28
212,100031,Exp,28
213,100032,Coin,137
214,100032,Exp,137
215,100032,AnimalInvite,2
216,100033,Coin,16
217,100033,Exp,16
218,100034,Coin,28
219,100034,Exp,28
220,100035,Coin,135
221,100035,Exp,135
222,100035,AnimalInvite,2
223,100036,Coin,48
224,100036,Exp,48
225,100037,Coin,19
226,100037,Exp,19
227,100038,Coin,27
228,100038,Exp,27
229,100039,Coin,18
230,100039,Exp,18
231,100040,Coin,12
232,100040,Exp,12
233,100041,Coin,199
234,100041,Exp,199
235,100041,AnimalInvite,2
236,100042,Coin,166
237,100042,Exp,166
238,100042,AnimalInvite,2
239,100043,Coin,45
240,100043,Exp,45
241,100044,Coin,79
